user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],9.370241,1
22,1,3829,[0 0 0 0 0],7.455247,0
22,1,3412,[0 0 0 0 0],6.8571925,0
22,1,3989,[0 0 0 0 0],3.2153003,0
22,1,2587,[0 0 0 0 0],4.8840165,0
22,1,3990,[0 0 0 0 0],5.9836507,0
22,1,2559,[0 0 0 0 0],4.9401555,0
22,1,2906,[0 0 0 0 0],5.5853295,0
22,1,2869,[0 0 0 0 0],5.9323726,0
22,1,3096,[0 0 0 0 0],5.481547,0
22,1,3632,[0 0 0 0 0],7.7609315,0
22,1,2974,[0 0 0 0 0],4.405702,0
22,1,3372,[0 0 0 0 0],10.880159,0
22,1,3991,[0 0 0 0 0],0.88290095,0
22,1,3426,[0 0 0 0 0],4.189888,0
22,1,3089,[0 0 0 0 0],6.3417425,0
22,1,3579,[0 0 0 0 0],6.0048943,0
22,1,3391,[0 0 0 0 0],7.3065963,0
22,1,3403,[0 0 0 0 0],2.4850676,0
22,1,2627,[0 0 0 0 0],3.2935028,0
22,1,3992,[0 0 0 0 0],9.180445,0
22,1,3833,[0 0 0 0 0],8.080399,0
22,1,3993,[0 0 0 0 0],6.7593307,0
22,1,3425,[0 0 0 0 0],5.906786,0
22,1,3994,[0 0 0 0 0],2.2292476,0
22,1,3654,[0 0 0 0 0],3.3647735,0
22,1,843,[0 0 0 0 0],0.34831166,0
22,1,2918,[0 0 0 0 0],7.0426855,0
22,1,3382,[0 0 0 0 0],11.370992,0
22,1,2608,[0 0 0 0 0],4.5033526,0
22,1,3665,[0 0 0 0 0],7.1342115,0
22,1,3995,[0 0 0 0 0],6.4663324,0
22,1,2562,[0 0 0 0 0],3.0426698,0
22,1,3433,[0 0 0 0 0],10.91879,0
22,1,2565,[0 0 0 0 0],-0.2577088,0
22,1,2580,[0 0 0 0 0],15.024607,0
22,1,3408,[0 0 0 0 0],5.1960835,0
22,1,2560,[0 0 0 0 0],14.377942,0
22,1,3996,[0 0 0 0 0],7.8439293,0
22,1,2919,[0 0 0 0 0],12.890489,0
22,1,3440,[0 0 0 0 0],5.6717253,0
22,1,3329,[0 0 0 0 0],8.243862,0
22,1,2567,[0 0 0 0 0],5.6533694,0
22,1,2577,[0 0 0 0 0],6.9090457,0
22,1,3084,[0 0 0 0 0],5.911947,0
22,1,3639,[0 0 0 0 0],1.8519955,0
22,1,2736,[0 0 0 0 0],9.396465,0
22,1,2996,[0 0 0 0 0],10.634848,0
22,1,2576,[0 0 0 0 0],5.6697164,0
22,1,3420,[0 0 0 0 0],7.7765684,0
22,1,2912,[0 0 0 0 0],8.120146,0
22,1,2950,[0 0 0 0 0],8.880652,0
22,1,3438,[0 0 0 0 0],5.6429157,0
22,1,3397,[0 0 0 0 0],13.61119,0
22,1,3648,[0 0 0 0 0],8.851673,0
22,1,3997,[0 0 0 0 0],4.658395,0
22,1,3998,[0 0 0 0 0],5.3929806,0
22,1,3419,[0 0 0 0 0],4.1770864,0
22,1,3417,[0 0 0 0 0],6.365308,0
22,1,2992,[0 0 0 0 0],10.336264,0
22,1,2831,[0 0 0 0 0],7.0614233,0
22,1,3031,[0 0 0 0 0],7.3564086,0
22,1,2574,[0 0 0 0 0],9.60174,0
22,1,2582,[0 0 0 0 0],5.4826384,0
22,1,3409,[0 0 0 0 0],7.0590634,0
22,1,2832,[0 0 0 0 0],5.134467,0
22,1,2977,[0 0 0 0 0],3.8278236,0
22,1,2858,[0 0 0 0 0],0.6887336,0
22,1,2636,[0 0 0 0 0],7.1846914,0
22,1,2940,[0 0 0 0 0],1.4070437,0
22,1,2990,[0 0 0 0 0],8.964826,0
22,1,2610,[0 0 0 0 0],4.1176825,0
22,1,3423,[0 0 0 0 0],8.981893,0
22,1,3999,[0 0 0 0 0],2.3939147,0
22,1,3415,[0 0 0 0 0],11.496962,0
22,1,3435,[0 0 0 0 0],-0.039041996,0
22,1,2970,[0 0 0 0 0],6.0629597,0
22,1,4000,[0 0 0 0 0],4.6719847,0
22,1,2980,[0 0 0 0 0],10.496434,0
22,1,2955,[0 0 0 0 0],11.292808,0
22,1,3406,[0 0 0 0 0],8.043709,0
22,1,3410,[0 0 0 0 0],3.397427,0
22,1,4001,[0 0 0 0 0],7.5115867,0
22,1,3036,[0 0 0 0 0],-3.7237139,0
22,1,3375,[0 0 0 0 0],5.872173,0
22,1,2968,[0 0 0 0 0],9.326074,0
22,1,4002,[0 0 0 0 0],5.0059767,0
22,1,2892,[0 0 0 0 0],5.1965213,0
22,1,3457,[0 0 0 0 0],-2.453096,0
22,1,3411,[0 0 0 0 0],6.364387,0
22,1,3344,[0 0 0 0 0],6.821114,0
22,1,3434,[0 0 0 0 0],4.154453,0
22,1,3437,[0 0 0 0 0],7.8342676,0
22,1,4003,[0 0 0 0 0],3.6703396,0
22,1,4004,[0 0 0 0 0],8.80475,0
22,1,3414,[0 0 0 0 0],3.4206774,0
22,1,2841,[0 0 0 0 0],7.038522,0
22,1,2891,[0 0 0 0 0],1.7061281,0
22,1,2981,[0 0 0 0 0],4.300848,0
22,1,2602,[0 0 0 0 0],6.037232,0
22,1,3368,[0 0 0 0 0],12.221875,0
22,1,2872,[0 0 0 0 0],10.763699,0
22,1,3021,[0 0 0 0 0],9.035609,0
22,1,2956,[0 0 0 0 0],4.11652,0
