user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],0.48382288,1
22,1,3829,[0 0 0 0 0],0.51003313,0
22,1,3412,[0 0 0 0 0],0.5012392,0
22,1,3989,[0 0 0 0 0],0.49666923,0
22,1,2587,[0 0 0 0 0],0.5034887,0
22,1,3990,[0 0 0 0 0],0.5012613,0
22,1,2559,[0 0 0 0 0],0.49859017,0
22,1,2906,[0 0 0 0 0],0.498305,0
22,1,2869,[0 0 0 0 0],0.5039287,0
22,1,3096,[0 0 0 0 0],0.5052048,0
22,1,3632,[0 0 0 0 0],0.49999404,0
22,1,2974,[0 0 0 0 0],0.4963382,0
22,1,3372,[0 0 0 0 0],0.49977306,0
22,1,3991,[0 0 0 0 0],0.49827552,0
22,1,3426,[0 0 0 0 0],0.5000456,0
22,1,3089,[0 0 0 0 0],0.5001427,0
22,1,3579,[0 0 0 0 0],0.49584004,0
22,1,3391,[0 0 0 0 0],0.5056651,0
22,1,3403,[0 0 0 0 0],0.5079697,0
22,1,2627,[0 0 0 0 0],0.49631295,0
22,1,3992,[0 0 0 0 0],0.4992161,0
22,1,3833,[0 0 0 0 0],0.507058,0
22,1,3993,[0 0 0 0 0],0.50409424,0
22,1,3425,[0 0 0 0 0],0.49791542,0
22,1,3994,[0 0 0 0 0],0.502835,0
22,1,3654,[0 0 0 0 0],0.49903703,0
22,1,843,[0 0 0 0 0],0.5042968,0
22,1,2918,[0 0 0 0 0],0.49971643,0
22,1,3382,[0 0 0 0 0],0.5079013,0
22,1,2608,[0 0 0 0 0],0.49172598,0
22,1,3665,[0 0 0 0 0],0.49667633,0
22,1,3995,[0 0 0 0 0],0.50063324,0
22,1,2562,[0 0 0 0 0],0.50425655,0
22,1,3433,[0 0 0 0 0],0.49436122,0
22,1,2565,[0 0 0 0 0],0.51817423,0
22,1,2580,[0 0 0 0 0],0.5087745,0
22,1,3408,[0 0 0 0 0],0.4935072,0
22,1,2560,[0 0 0 0 0],0.49584338,0
22,1,3996,[0 0 0 0 0],0.5023927,0
22,1,2919,[0 0 0 0 0],0.5017557,0
22,1,3440,[0 0 0 0 0],0.49002954,0
22,1,3329,[0 0 0 0 0],0.50101626,0
22,1,2567,[0 0 0 0 0],0.49675792,0
22,1,2577,[0 0 0 0 0],0.50659484,0
22,1,3084,[0 0 0 0 0],0.5056016,0
22,1,3639,[0 0 0 0 0],0.4987389,0
22,1,2736,[0 0 0 0 0],0.51118076,0
22,1,2996,[0 0 0 0 0],0.4973445,0
22,1,2576,[0 0 0 0 0],0.49865085,0
22,1,3420,[0 0 0 0 0],0.5018684,0
22,1,2912,[0 0 0 0 0],0.5032206,0
22,1,2950,[0 0 0 0 0],0.5026002,0
22,1,3438,[0 0 0 0 0],0.49868336,0
22,1,3397,[0 0 0 0 0],0.5017702,0
22,1,3648,[0 0 0 0 0],0.5034417,0
22,1,3997,[0 0 0 0 0],0.50240445,0
22,1,3998,[0 0 0 0 0],0.49402142,0
22,1,3419,[0 0 0 0 0],0.50742656,0
22,1,3417,[0 0 0 0 0],0.49655855,0
22,1,2992,[0 0 0 0 0],0.5022086,0
22,1,2831,[0 0 0 0 0],0.5058036,0
22,1,3031,[0 0 0 0 0],0.48809174,0
22,1,2574,[0 0 0 0 0],0.48798668,0
22,1,2582,[0 0 0 0 0],0.49157774,0
22,1,3409,[0 0 0 0 0],0.50153875,0
22,1,2832,[0 0 0 0 0],0.49983525,0
22,1,2977,[0 0 0 0 0],0.49739987,0
22,1,2858,[0 0 0 0 0],0.49794537,0
22,1,2636,[0 0 0 0 0],0.49796242,0
22,1,2940,[0 0 0 0 0],0.4914197,0
22,1,2990,[0 0 0 0 0],0.501647,0
22,1,2610,[0 0 0 0 0],0.49467584,0
22,1,3423,[0 0 0 0 0],0.5102741,0
22,1,3999,[0 0 0 0 0],0.50932306,0
