user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],0.15511887,1
22,1,3829,[0 0 0 0 0],0.20783341,0
22,1,3412,[0 0 0 0 0],0.42883366,0
22,1,3989,[0 0 0 0 0],0.33560276,0
22,1,2587,[0 0 0 0 0],0.3250515,0
22,1,3990,[0 0 0 0 0],0.18956302,0
22,1,2559,[0 0 0 0 0],0.26849926,0
22,1,2906,[0 0 0 0 0],0.3086927,0
22,1,2869,[0 0 0 0 0],0.22244515,0
22,1,3096,[0 0 0 0 0],0.2393792,0
22,1,3632,[0 0 0 0 0],0.22039858,0
22,1,2974,[0 0 0 0 0],0.3009262,0
22,1,3372,[0 0 0 0 0],0.3283339,0
22,1,3991,[0 0 0 0 0],0.26588258,0
22,1,3426,[0 0 0 0 0],0.21482377,0
22,1,3089,[0 0 0 0 0],0.22140224,0
22,1,3579,[0 0 0 0 0],0.2866481,0
22,1,3391,[0 0 0 0 0],0.25807768,0
22,1,3403,[0 0 0 0 0],0.31976807,0
22,1,2627,[0 0 0 0 0],0.21142502,0
22,1,3992,[0 0 0 0 0],0.2328924,0
22,1,3833,[0 0 0 0 0],0.26676798,0
22,1,3993,[0 0 0 0 0],0.15132394,0
22,1,3425,[0 0 0 0 0],0.18481752,0
22,1,3994,[0 0 0 0 0],0.16233826,0
22,1,3654,[0 0 0 0 0],0.22361921,0
22,1,843,[0 0 0 0 0],0.1168343,0
22,1,2918,[0 0 0 0 0],0.394661,0
22,1,3382,[0 0 0 0 0],0.25990433,0
22,1,2608,[0 0 0 0 0],0.30547613,0
22,1,3665,[0 0 0 0 0],0.17650838,0
22,1,3995,[0 0 0 0 0],0.18441667,0
22,1,2562,[0 0 0 0 0],0.22795892,0
22,1,3433,[0 0 0 0 0],0.19085866,0
22,1,2565,[0 0 0 0 0],0.32350963,0
22,1,2580,[0 0 0 0 0],0.19960281,0
22,1,3408,[0 0 0 0 0],0.18135466,0
22,1,2560,[0 0 0 0 0],0.36197406,0
22,1,3996,[0 0 0 0 0],0.2635954,0
22,1,2919,[0 0 0 0 0],0.3539127,0
22,1,3440,[0 0 0 0 0],0.22877184,0
22,1,3329,[0 0 0 0 0],0.24951144,0
22,1,2567,[0 0 0 0 0],0.24693528,0
22,1,2577,[0 0 0 0 0],0.24042656,0
22,1,3084,[0 0 0 0 0],0.17128092,0
