user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],1.0,1
22,1,3829,[0 0 0 0 0],1.0,0
22,1,3412,[0 0 0 0 0],0.9999999,0
22,1,3989,[0 0 0 0 0],5.0615796e-20,0
22,1,2587,[0 0 0 0 0],7.570052e-07,0
22,1,3990,[0 0 0 0 0],1.0,0
22,1,2559,[0 0 0 0 0],4.9795426e-17,0
22,1,2906,[0 0 0 0 0],1.3601168e-05,0
22,1,2869,[0 0 0 0 0],0.99998844,0
22,1,3096,[0 0 0 0 0],1.0,0
22,1,3632,[0 0 0 0 0],0.6193136,0
22,1,2974,[0 0 0 0 0],3.734091e-12,0
22,1,3372,[0 0 0 0 0],3.8590093e-15,0
22,1,3991,[0 0 0 0 0],0.9226173,0
22,1,3426,[0 0 0 0 0],0.0004284824,0
22,1,3089,[0 0 0 0 0],0.9999994,0
22,1,3579,[0 0 0 0 0],1.0,0
22,1,3391,[0 0 0 0 0],0.49760428,0
22,1,3403,[0 0 0 0 0],1.0,0
22,1,2627,[0 0 0 0 0],1.0,0
22,1,3992,[0 0 0 0 0],0.9998247,0
22,1,3833,[0 0 0 0 0],5.938061e-13,0
22,1,3993,[0 0 0 0 0],6.2976278e-09,0
22,1,3425,[0 0 0 0 0],3.2910374e-10,0
22,1,3994,[0 0 0 0 0],2.800632e-06,0
22,1,3654,[0 0 0 0 0],1.0,0
22,1,843,[0 0 0 0 0],1.0,0
22,1,2918,[0 0 0 0 0],5.15311e-12,0
22,1,3382,[0 0 0 0 0],1.199014e-15,0
22,1,2608,[0 0 0 0 0],0.009379515,0
22,1,3665,[0 0 0 0 0],3.7396216e-16,0
22,1,3995,[0 0 0 0 0],1.0,0
22,1,2562,[0 0 0 0 0],0.0020106032,0
22,1,3433,[0 0 0 0 0],1.0,0
22,1,2565,[0 0 0 0 0],0.01537774,0
22,1,2580,[0 0 0 0 0],1.2117614e-09,0
22,1,3408,[0 0 0 0 0],0.9999993,0
22,1,2560,[0 0 0 0 0],0.9999931,0
22,1,3996,[0 0 0 0 0],1.0,0
22,1,2919,[0 0 0 0 0],0.0044496846,0
22,1,3440,[0 0 0 0 0],0.97462904,0
22,1,3329,[0 0 0 0 0],0.97068965,0
22,1,2567,[0 0 0 0 0],0.9999614,0
22,1,2577,[0 0 0 0 0],2.5648793e-08,0
22,1,3084,[0 0 0 0 0],0.99998343,0
22,1,3639,[0 0 0 0 0],0.9915714,0
