user,user_type,candidate_news,candidate_news_type,score,label
88,1,2568,[1 0 0 0 0],-30.031464,1
88,1,3829,[1 0 0 0 0],0.45128107,0
88,1,3412,[1 0 0 0 0],32.375698,0
88,1,3989,[1 0 0 0 0],0.020963192,0
88,1,2587,[1 0 0 0 0],3.73628,0
88,1,3990,[1 0 0 0 0],-8.004583,0
88,1,2559,[1 0 0 0 0],7.4738646,0
88,1,2906,[1 0 0 0 0],-31.918566,0
88,1,2869,[1 0 0 0 0],-0.053522587,0
88,1,3096,[1 0 0 0 0],5.8223057,0
88,1,3632,[1 0 0 0 0],-5.047323,0
88,1,2974,[1 0 0 0 0],0.77036667,0
88,1,3372,[1 0 0 0 0],30.017502,0
88,1,3991,[1 0 0 0 0],33.653385,0
88,1,3426,[1 0 0 0 0],-10.65473,0
88,1,3089,[1 0 0 0 0],14.953096,0
88,1,3579,[1 0 0 0 0],-30.767221,0
88,1,3391,[1 0 0 0 0],-28.332542,0
88,1,3403,[1 0 0 0 0],-1.7056484,0
88,1,2627,[1 0 0 0 0],9.676168,0
88,1,3992,[1 0 0 0 0],31.012264,0
88,1,3833,[1 0 0 0 0],4.873728,0
88,1,3993,[1 0 0 0 0],-25.04122,0
88,1,3425,[1 0 0 0 0],17.900875,0
88,1,3994,[1 0 0 0 0],0.19333124,0
88,1,3654,[1 0 0 0 0],8.126866,0
88,1,2400,[1 0 0 0 0],-16.030066,0
88,1,2918,[1 0 0 0 0],-29.673697,0
88,1,3382,[1 0 0 0 0],-2.360802,0
88,1,2608,[1 0 0 0 0],10.958906,0
88,1,3665,[1 0 0 0 0],3.9840312,0
88,1,3995,[1 0 0 0 0],6.2186255,0
88,1,2562,[1 0 0 0 0],-14.2422695,0
88,1,3433,[1 0 0 0 0],0.2974472,0
88,1,2565,[1 0 0 0 0],7.0416856,0
88,1,2580,[1 0 0 0 0],-2.1557274,0
88,1,3408,[1 0 0 0 0],3.383394,0
88,1,2560,[1 0 0 0 0],24.807148,0
88,1,3996,[1 0 0 0 0],41.42988,0
88,1,2919,[1 0 0 0 0],-31.892057,0
88,1,3440,[1 0 0 0 0],5.018572,0
88,1,3329,[1 0 0 0 0],19.364975,0
88,1,2567,[1 0 0 0 0],-5.2788463,0
88,1,2577,[1 0 0 0 0],9.777217,0
88,1,3084,[1 0 0 0 0],-17.506458,0
88,1,3639,[1 0 0 0 0],-14.3502445,0
88,1,2736,[1 0 0 0 0],-26.778374,0
88,1,2996,[1 0 0 0 0],-33.782658,0
88,1,2576,[1 0 0 0 0],5.323311,0
88,1,3420,[1 0 0 0 0],5.852954,0
88,1,2912,[1 0 0 0 0],0.26014018,0
88,1,2950,[1 0 0 0 0],13.808308,0
88,1,3438,[1 0 0 0 0],-10.770922,0
88,1,3397,[1 0 0 0 0],6.0180264,0
88,1,3648,[1 0 0 0 0],-12.0714035,0
88,1,3997,[1 0 0 0 0],7.3652124,0
88,1,3998,[1 0 0 0 0],-14.112474,0
88,1,3419,[1 0 0 0 0],-25.522532,0
88,1,3417,[1 0 0 0 0],-23.478104,0
88,1,2992,[1 0 0 0 0],32.723747,0
88,1,2831,[1 0 0 0 0],3.4563608,0
88,1,3031,[1 0 0 0 0],3.5951133,0
88,1,2574,[1 0 0 0 0],4.960975,0
88,1,2582,[1 0 0 0 0],-22.82908,0
88,1,3409,[1 0 0 0 0],-2.0192485,0
88,1,2832,[1 0 0 0 0],19.290714,0
88,1,2977,[1 0 0 0 0],-11.97008,0
88,1,2858,[1 0 0 0 0],-9.323655,0
88,1,2636,[1 0 0 0 0],-29.130007,0
88,1,2940,[1 0 0 0 0],-21.683502,0
88,1,2990,[1 0 0 0 0],15.559584,0
88,1,2610,[1 0 0 0 0],10.013298,0
88,1,3423,[1 0 0 0 0],-31.463356,0
88,1,3999,[1 0 0 0 0],29.844471,0
88,1,3415,[1 0 0 0 0],-7.725114,0
88,1,3435,[1 0 0 0 0],-1.8882842,0
88,1,2970,[1 0 0 0 0],-17.17697,0
88,1,4000,[1 0 0 0 0],7.512272,0
88,1,2980,[1 0 0 0 0],-19.83488,0
88,1,2955,[1 0 0 0 0],-22.68214,0
88,1,3406,[1 0 0 0 0],9.519717,0
88,1,3410,[1 0 0 0 0],-14.943789,0
88,1,4001,[1 0 0 0 0],-8.5291195,0
88,1,3036,[1 0 0 0 0],1.333746,0
88,1,3375,[1 0 0 0 0],10.415691,0
88,1,2968,[1 0 0 0 0],8.23877,0
88,1,4002,[1 0 0 0 0],-21.500914,0
88,1,2892,[1 0 0 0 0],-6.056967,0
88,1,3457,[1 0 0 0 0],9.029426,0
88,1,3411,[1 0 0 0 0],0.5553498,0
88,1,3344,[1 0 0 0 0],2.0251353,0
88,1,3434,[1 0 0 0 0],16.005005,0
88,1,3437,[1 0 0 0 0],-15.489122,0
88,1,4003,[1 0 0 0 0],-9.161276,0
88,1,4004,[1 0 0 0 0],20.489414,0
88,1,3414,[1 0 0 0 0],14.103733,0
88,1,2841,[1 0 0 0 0],19.620375,0
88,1,2891,[1 0 0 0 0],-7.379408,0
88,1,2981,[1 0 0 0 0],-0.10326338,0
88,1,2602,[1 0 0 0 0],-15.663455,0
88,1,3368,[1 0 0 0 0],4.9416876,0
88,1,2872,[1 0 0 0 0],-15.176752,0
88,1,3021,[1 0 0 0 0],-9.291792,0
88,1,2956,[1 0 0 0 0],5.8715115,0
88,1,3459,[1 0 0 0 0],13.604534,0
88,1,2878,[1 0 0 0 0],-12.709102,0
88,1,2854,[1 0 0 0 0],33.968887,0
