user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],0.08938147,1
22,1,3829,[0 0 0 0 0],6.4694814e-06,0
22,1,3412,[0 0 0 0 0],7.4218784e-05,0
22,1,3989,[0 0 0 0 0],1.45413005e-05,0
22,1,2587,[0 0 0 0 0],9.587212e-06,0
22,1,3990,[0 0 0 0 0],0.055673838,0
22,1,2559,[0 0 0 0 0],1.8011248e-07,0
22,1,2906,[0 0 0 0 0],2.4205321e-05,0
22,1,2869,[0 0 0 0 0],0.0020380565,0
22,1,3096,[0 0 0 0 0],0.0034444109,0
22,1,3632,[0 0 0 0 0],0.0009720914,0
22,1,2974,[0 0 0 0 0],4.002369e-08,0
22,1,3372,[0 0 0 0 0],0.0010905993,0
22,1,3991,[0 0 0 0 0],3.627677e-05,0
22,1,3426,[0 0 0 0 0],2.2962271e-07,0
22,1,3089,[0 0 0 0 0],1.1605771e-05,0
22,1,3579,[0 0 0 0 0],3.356893e-05,0
22,1,3391,[0 0 0 0 0],2.5258567e-05,0
22,1,3403,[0 0 0 0 0],4.5812965e-07,0
22,1,2627,[0 0 0 0 0],1.4644685e-08,0
22,1,3992,[0 0 0 0 0],8.4677447e-07,0
22,1,3833,[0 0 0 0 0],2.1899144e-05,0
22,1,3993,[0 0 0 0 0],6.565082e-07,0
22,1,3425,[0 0 0 0 0],0.00040634547,0
22,1,3994,[0 0 0 0 0],3.508086e-07,0
22,1,3654,[0 0 0 0 0],2.1794132e-07,0
22,1,843,[0 0 0 0 0],5.1227795e-05,0
22,1,2918,[0 0 0 0 0],3.72398e-05,0
22,1,3382,[0 0 0 0 0],0.0120177865,0
22,1,2608,[0 0 0 0 0],3.786177e-06,0
22,1,3665,[0 0 0 0 0],0.00023967019,0
22,1,3995,[0 0 0 0 0],0.012490293,0
22,1,2562,[0 0 0 0 0],8.394519e-05,0
22,1,3433,[0 0 0 0 0],0.00041574752,0
22,1,2565,[0 0 0 0 0],7.421483e-08,0
22,1,2580,[0 0 0 0 0],0.1284537,0
22,1,3408,[0 0 0 0 0],7.6606965e-10,0
22,1,2560,[0 0 0 0 0],0.00037772182,0
22,1,3996,[0 0 0 0 0],1.3785188e-05,0
22,1,2919,[0 0 0 0 0],0.0011673921,0
22,1,3440,[0 0 0 0 0],1.5557232e-06,0
22,1,3329,[0 0 0 0 0],2.4811617e-09,0
22,1,2567,[0 0 0 0 0],1.2305708e-06,0
22,1,2577,[0 0 0 0 0],4.4008925e-08,0
22,1,3084,[0 0 0 0 0],0.6363543,0
22,1,3639,[0 0 0 0 0],1.11492355e-07,0
22,1,2736,[0 0 0 0 0],2.526156e-06,0
22,1,2996,[0 0 0 0 0],4.3640255e-05,0
22,1,2576,[0 0 0 0 0],1.6762839e-05,0
22,1,3420,[0 0 0 0 0],3.3254348e-06,0
22,1,2912,[0 0 0 0 0],2.7586664e-08,0
22,1,2950,[0 0 0 0 0],6.3598104e-06,0
22,1,3438,[0 0 0 0 0],2.7534082e-09,0
22,1,3397,[0 0 0 0 0],6.797724e-05,0
22,1,3648,[0 0 0 0 0],3.3014552e-05,0
22,1,3997,[0 0 0 0 0],7.4335203e-06,0
22,1,3998,[0 0 0 0 0],1.2917631e-05,0
22,1,3419,[0 0 0 0 0],1.8410852e-08,0
22,1,3417,[0 0 0 0 0],1.2650326e-05,0
22,1,2992,[0 0 0 0 0],0.018949382,0
22,1,2831,[0 0 0 0 0],0.0077860155,0
22,1,3031,[0 0 0 0 0],1.438385e-06,0
22,1,2574,[0 0 0 0 0],6.9829565e-07,0
22,1,2582,[0 0 0 0 0],6.293007e-08,0
22,1,3409,[0 0 0 0 0],0.0033396136,0
22,1,2832,[0 0 0 0 0],4.7062564e-08,0
22,1,2977,[0 0 0 0 0],0.02087591,0
22,1,2858,[0 0 0 0 0],0.0026864812,0
22,1,2636,[0 0 0 0 0],1.8343313e-05,0
22,1,2940,[0 0 0 0 0],7.104384e-08,0
22,1,2990,[0 0 0 0 0],0.0004983247,0
22,1,2610,[0 0 0 0 0],2.3301505e-05,0
22,1,3423,[0 0 0 0 0],1.0,0
22,1,3999,[0 0 0 0 0],0.0018331324,0
22,1,3415,[0 0 0 0 0],8.230289e-10,0
22,1,3435,[0 0 0 0 0],0.0060725613,0
22,1,2970,[0 0 0 0 0],1.3135145e-06,0
22,1,4000,[0 0 0 0 0],8.179705e-06,0
22,1,2980,[0 0 0 0 0],0.00013452298,0
22,1,2955,[0 0 0 0 0],0.0024863263,0
22,1,3406,[0 0 0 0 0],3.7249636e-05,0
22,1,3410,[0 0 0 0 0],4.6892586e-07,0
22,1,4001,[0 0 0 0 0],0.013692413,0
22,1,3036,[0 0 0 0 0],4.709458e-06,0
22,1,3375,[0 0 0 0 0],1.4671238e-06,0
22,1,2968,[0 0 0 0 0],2.5109417e-08,0
22,1,4002,[0 0 0 0 0],0.0002683925,0
22,1,2892,[0 0 0 0 0],0.0001189631,0
22,1,3457,[0 0 0 0 0],0.9999999,0
22,1,3411,[0 0 0 0 0],5.8045765e-07,0
22,1,3344,[0 0 0 0 0],5.1862444e-06,0
22,1,3434,[0 0 0 0 0],0.00014801549,0
22,1,3437,[0 0 0 0 0],2.080271e-07,0
22,1,4003,[0 0 0 0 0],4.0419156e-08,0
22,1,4004,[0 0 0 0 0],1.3845217e-07,0
22,1,3414,[0 0 0 0 0],1.6585938e-07,0
22,1,2841,[0 0 0 0 0],9.43949e-05,0
22,1,2891,[0 0 0 0 0],8.843472e-08,0
22,1,2981,[0 0 0 0 0],9.223875e-09,0
22,1,2602,[0 0 0 0 0],5.8185076e-05,0
22,1,3368,[0 0 0 0 0],0.0010008925,0
22,1,2872,[0 0 0 0 0],4.318084e-06,0
22,1,3021,[0 0 0 0 0],2.036297e-05,0
22,1,2956,[0 0 0 0 0],2.4291163e-07,0
22,1,3459,[0 0 0 0 0],0.99996626,0
22,1,2878,[0 0 0 0 0],8.2034504e-08,0
22,1,2854,[0 0 0 0 0],1.2614991e-07,0
22,1,2588,[0 0 0 0 0],3.9599974e-05,0
22,1,2554,[0 0 0 0 0],2.8732095e-05,0
22,1,4005,[0 0 0 0 0],0.0001426866,0
22,1,1932,[0 0 0 0 0],6.233238e-05,0
22,1,3436,[0 0 0 0 0],0.029492501,0
22,1,3393,[0 0 0 0 0],5.070818e-06,0
22,1,2983,[0 0 0 0 0],0.0073463134,0
22,1,4006,[0 0 0 0 0],1.9848621e-06,0
22,1,3689,[0 0 0 0 0],6.751784e-05,0
22,1,2556,[0 0 0 0 0],0.013592344,0
22,1,2765,[0 0 0 0 0],3.2073112e-07,0
22,1,3394,[0 0 0 0 0],7.808431e-06,0
22,1,4007,[0 0 0 0 0],0.018420964,0
22,1,2899,[0 0 0 0 0],8.653444e-07,0
22,1,3442,[0 0 0 0 0],2.794677e-06,0
22,1,3831,[0 0 0 0 0],1.36980925e-05,0
22,1,4008,[0 0 0 0 0],0.9999999,0
22,1,3693,[0 0 0 0 0],1.3085996e-06,0
22,1,3427,[0 0 0 0 0],0.00014487604,0
22,1,3401,[0 0 0 0 0],3.2329242e-06,0
25,1,3108,[0 0 0 0 0],9.637208e-06,1
25,1,3140,[0 0 0 0 0],0.00027740345,0
25,1,2542,[0 0 0 0 0],4.7754572e-08,0
25,1,2603,[0 0 0 0 0],1.2179133e-07,0
25,1,4009,[0 0 0 0 0],6.0644043e-06,0
25,1,2549,[0 0 0 0 0],9.552207e-05,0
25,1,2619,[0 0 0 0 0],1.572718e-05,0
25,1,2635,[0 0 0 0 0],7.1969466e-06,0
25,1,2543,[0 0 0 0 0],6.2353083e-09,0
25,1,4010,[0 0 0 0 0],7.7449506e-05,0
52,0,4011,[0 0 0 0 0],5.717344e-06,1
52,0,3159,[0 0 0 0 0],1.3919093e-06,1
52,0,2809,[0 0 0 0 0],6.884052e-07,1
52,0,3158,[0 0 0 0 0],9.5646756e-05,0
52,0,4012,[0 0 0 0 0],0.00014215452,0
52,0,4013,[0 0 0 0 0],1.5499639e-07,0
52,0,3701,[0 0 0 0 0],1.4629078e-08,0
52,0,3909,[0 0 0 0 0],6.2172044e-06,0
