user,user_type,candidate_news,candidate_news_type,score,label
22,1,2568,[0 0 0 0 0],-1.0848566,1
22,1,3829,[0 0 0 0 0],-0.7851868,0
22,1,3412,[0 0 0 0 0],0.6610544,0
22,1,3989,[0 0 0 0 0],0.3785968,0
22,1,2587,[0 0 0 0 0],-0.87455404,0
22,1,3990,[0 0 0 0 0],-0.79910576,0
22,1,2559,[0 0 0 0 0],-0.1233974,0
22,1,2906,[0 0 0 0 0],-0.75622857,0
22,1,2869,[0 0 0 0 0],-1.1221458,0
22,1,3096,[0 0 0 0 0],-0.085224174,0
22,1,3632,[0 0 0 0 0],-0.7824126,0
22,1,2974,[0 0 0 0 0],-0.81403196,0
22,1,3372,[0 0 0 0 0],0.08240935,0
22,1,3991,[0 0 0 0 0],0.0047464333,0
22,1,3426,[0 0 0 0 0],-1.1352416,0
22,1,3089,[0 0 0 0 0],-0.013512103,0
22,1,3579,[0 0 0 0 0],-0.22098853,0
22,1,3391,[0 0 0 0 0],0.59907216,0
22,1,3403,[0 0 0 0 0],-0.5416666,0
22,1,2627,[0 0 0 0 0],-0.34909856,0
22,1,3992,[0 0 0 0 0],-2.709905,0
22,1,3833,[0 0 0 0 0],-0.50953174,0
22,1,3993,[0 0 0 0 0],-0.15572686,0
22,1,3425,[0 0 0 0 0],-0.552266,0
22,1,3994,[0 0 0 0 0],-0.5235703,0
22,1,3654,[0 0 0 0 0],-1.0198889,0
22,1,843,[0 0 0 0 0],-0.1569897,0
22,1,2918,[0 0 0 0 0],1.2091937,0
22,1,3382,[0 0 0 0 0],-0.16957852,0
22,1,2608,[0 0 0 0 0],-0.11660731,0
22,1,3665,[0 0 0 0 0],-1.1262333,0
22,1,3995,[0 0 0 0 0],0.82439035,0
22,1,2562,[0 0 0 0 0],-0.5961946,0
22,1,3433,[0 0 0 0 0],-0.11361714,0
22,1,2565,[0 0 0 0 0],-0.8018172,0
22,1,2580,[0 0 0 0 0],-0.5276578,0
22,1,3408,[0 0 0 0 0],-0.22000651,0
22,1,2560,[0 0 0 0 0],0.13152127,0
22,1,3996,[0 0 0 0 0],-0.99552923,0
22,1,2919,[0 0 0 0 0],-0.85055923,0
22,1,3440,[0 0 0 0 0],-1.2109143,0
22,1,3329,[0 0 0 0 0],-2.3759406,0
22,1,2567,[0 0 0 0 0],-2.4517207,0
22,1,2577,[0 0 0 0 0],-2.607315,0
22,1,3084,[0 0 0 0 0],-1.0092498,0
22,1,3639,[0 0 0 0 0],-0.87540907,0
22,1,2736,[0 0 0 0 0],-0.42857122,0
22,1,2996,[0 0 0 0 0],-0.8288651,0
22,1,2576,[0 0 0 0 0],-0.91143954,0
22,1,3420,[0 0 0 0 0],-0.12754285,0
22,1,2912,[0 0 0 0 0],0.6627643,0
22,1,2950,[0 0 0 0 0],-0.8979474,0
22,1,3438,[0 0 0 0 0],-0.71537125,0
22,1,3397,[0 0 0 0 0],0.7773759,0
22,1,3648,[0 0 0 0 0],-0.5687991,0
22,1,3997,[0 0 0 0 0],-1.2788019,0
22,1,3998,[0 0 0 0 0],-0.39237604,0
22,1,3419,[0 0 0 0 0],-1.0859916,0
22,1,3417,[0 0 0 0 0],-2.6471364,0
22,1,2992,[0 0 0 0 0],0.5257606,0
22,1,2831,[0 0 0 0 0],-1.2147877,0
22,1,3031,[0 0 0 0 0],-1.0221589,0
22,1,2574,[0 0 0 0 0],-1.2320923,0
22,1,2582,[0 0 0 0 0],-0.8065735,0
22,1,3409,[0 0 0 0 0],-0.6352935,0
22,1,2832,[0 0 0 0 0],0.040409587,0
22,1,2977,[0 0 0 0 0],-1.1681523,0
22,1,2858,[0 0 0 0 0],-0.68435013,0
22,1,2636,[0 0 0 0 0],-0.4436479,0
22,1,2940,[0 0 0 0 0],0.0676329,0
22,1,2990,[0 0 0 0 0],0.40762624,0
